Dia,CAMPANHA,Produto/Anúncio,PUBLICO,Impressões do anúncio,Cliques,Custo,Cadastros de Conta Corrente,Conversões,Receita,CTR (Click Through Rate),Taxa de Conversão de Cliques (H) para Conversões (K),CPC (Custo por Clique),CPA (Custo por Aquisição/Conversão),ROI como Índice (ROAS),ROI (Retorno sobre Investimento),CANAL_ORIGEM,Vendedor que atendeu
2022-09-01 00:00:00,Remarketing,Empréstimo,HOT,19960.0,100.0,80.19999999999999,,0.0,0.0,0.0050100200400801,0.0,0.8019999999999999,0.0,0.0,-1.0,GOOGLE ADS,
2022-09-01 00:00:00,Institucional,Empréstimo,COLD,1080.0,150.0,300.6,,0.0,0.0,0.1388888888888889,0.0,2.004,0.0,0.0,-1.0,GOOGLE ADS,
2022-09-01 00:00:00,CONVERSAO,Empréstimo,COLD,70490.0,430.0,1463.0,0.0,0.0,0.0,0.0061001560505036,0.0,3.402325581395349,0.0,0.0,-1.0,METAADS,
2022-09-01 00:00:00,CONVERSAO,Empréstimo,HOT,49050.0,270.0,976.1,0.0,0.0,0.0,0.0055045871559633,0.0,3.615185185185185,0.0,0.0,-1.0,METAADS,
2022-09-01 00:00:00,REMARKETING,Empréstimo,HOT,6010.0,20.0,296.1,0.0,0.0,0.0,0.0033277870216306,0.0,14.805,0.0,0.0,-1.0,METAADS,
2022-09-02 00:00:00,Remarketing,Empréstimo,HOT,19650.0,110.0,87.89999999999999,,0.0,0.0,0.0055979643765903,0.0,0.799090909090909,0.0,0.0,-1.0,GOOGLE ADS,
2022-09-02 00:00:00,Institucional,Empréstimo,COLD,890.0,110.0,161.6,,0.0,0.0,0.1235955056179775,0.0,1.469090909090909,0.0,0.0,-1.0,GOOGLE ADS,
2022-09-02 00:00:00,REMARKETING,Empréstimo,COLD,61850.0,370.0,1457.2,0.0,0.0,0.0,0.0059822150363783,0.0,3.9383783783783786,0.0,0.0,-1.0,METAADS,
2022-09-02 00:00:00,CONVERSAO,Empréstimo,HOT,47060.0,280.0,968.4,0.0,1.0,13459.5,0.0059498512537186,0.0035714285714285,3.458571428571429,968.4,13.898698884758362,12.898698884758364,METAADS,
2022-09-02 00:00:00,REMARKETING,Empréstimo,HOT,6670.0,40.0,285.5,0.0,0.0,0.0,0.0059970014992503,0.0,7.1375,0.0,0.0,-1.0,METAADS,
2022-09-03 00:00:00,Remarketing,Empréstimo,HOT,20510.0,160.0,103.2,,0.0,0.0,0.007801072647489,0.0,0.645,0.0,0.0,-1.0,GOOGLE ADS,
2022-09-03 00:00:00,Institucional,Empréstimo,COLD,450.0,70.0,109.5,,1.0,14955.0,0.1555555555555555,1.0,1.5642857142857145,109.5,136.57534246575344,135.57534246575344,GOOGLE ADS,
2022-09-03 00:00:00,REMARKETING,Empréstimo,HOT,5750.0,30.0,152.89999999999998,0.0,0.0,0.0,0.0052173913043478,0.0,5.096666666666666,0.0,0.0,-1.0,METAADS,
2022-09-03 00:00:00,REMARKETING,Empréstimo,COLD,13200.0,40.0,220.4,0.0,0.0,0.0,0.003030303030303,0.0,5.51,0.0,0.0,-1.0,METAADS,
2022-09-03 00:00:00,CONVERSAO,Empréstimo,COLD,42530.0,370.0,1229.7,0.0,0.0,0.0,0.0086997413590406,0.0,3.3235135135135137,0.0,0.0,-1.0,METAADS,
2022-09-03 00:00:00,CONVERSAO,Empréstimo,HOT,32430.0,260.0,831.7,0.0,0.0,0.0,0.0080172679617637,0.0,3.198846153846154,0.0,0.0,-1.0,METAADS,
